method_option,model,threshold,val_recall_at_threshold,val_precision_at_threshold,val_f1_at_threshold,val_f2_at_threshold,val_alert_rate_at_threshold,accuracy,balanced_accuracy,precision,recall,missed_anomaly_rate_fnr,f1,f2,alert_rate,fn_count,fp_count,cost_fn12_fp3,roc_auc,pr_auc
(h),Gaussian Naive Bayes,0.9999837439081587,0.27049180327868855,0.25,0.25984251968503935,0.2661290322580645,0.07006369426751592,0.8941454760496748,0.6545908149652242,0.2184873949579832,0.38661710037174724,0.6133828996282528,0.2791946308724832,0.33505154639175255,0.0938300808200276,165,372,3096.0,0.7392662248621812,0.18022539411033495
(a),Logistic Regression,0.7050072596156249,0.22131147540983606,0.23893805309734514,0.2297872340425532,0.22462562396006655,0.05997876857749469,0.9136605558840922,0.6227829813445425,0.24316109422492402,0.29739776951672864,0.7026022304832713,0.26755852842809363,0.2846975088967972,0.06485314409619554,189,249,3015.0,0.7291994898922521,0.17477000512974505
(f),Random Forest,0.17982138052312377,0.26229508196721313,0.2601626016260163,0.2612244897959184,0.2618657937806874,0.06528662420382166,0.8951310861423221,0.6393193094973519,0.2097130242825607,0.35315985130111527,0.6468401486988847,0.2631578947368421,0.3106605624591236,0.0892962743938498,174,358,3162.0,0.743191083019417,0.18638237668485563
(c),Linear SVC,0.23864309856965907,0.2540983606557377,0.21830985915492956,0.23484848484848486,0.24603174603174602,0.07537154989384288,0.8931598659570275,0.62950522953301,0.1986754966887417,0.3345724907063197,0.6654275092936803,0.24930747922437674,0.2943100065402224,0.0892962743938498,179,363,3237.0,0.7304577350349306,0.17333579373949537
