method_option,model,decision_policy,macro_f1,weighted_f1,micro_f1,accuracy,balanced_accuracy,recall_class_0,recall_class_1,recall_class_2plus,prediction_rate_class_0,prediction_rate_class_1,prediction_rate_class_2plus
(c),Linear SVC,"relaxed_bias(c1=0.05, c2=0.20)",0.4256922437617258,0.9175627609398763,0.915237532032328,0.915237532032328,0.4345726215940955,0.9554537885095754,0.13725490196078433,0.21100917431192662,0.9432288586635127,0.02286615414941849,0.033904987187068795
(f),Random Forest,default_decision,0.3414834963132851,0.9233694563996336,0.9467770549970431,0.9467770549970431,0.3420219389041242,0.9985428809325562,0.0,0.027522935779816515,0.9972402917405874,0.0,0.0027597082594125765
(a),Logistic Regression,default_decision,0.33499913180347307,0.7846167504565803,0.690321308890203,0.690321308890203,0.4275702894347053,0.7133638634471274,0.29411764705882354,0.27522935779816515,0.6982061896313818,0.19160260201064458,0.11019120835797358
(h),Gaussian Naive Bayes,default_decision,0.2417275452588402,0.5535276320495345,0.4011433077074709,0.4011433077074709,0.39692858787252155,0.410699417152373,0.6470588235294118,0.13302752293577982,0.39720086733688154,0.5531243839936921,0.04967474866942637
