datetime,request_count,unique_ips,error_count,avg_response_size,p95_response_size,unique_endpoints,count_4xx,count_5xx,error_rate,rate_4xx,rate_5xx,z_request_count,z_unique_ips,z_unique_endpoints,z_p95_response_size,traffic_anomaly_score
1995-07-01 00:10:00-04:00,1,1,0,0.0,0.0,1,0,0,0.0,0.0,0.0,3.924436117211298,3.935932872179204,3.924436117211298,-0.07881659060129258,3.1266597643907565
1995-07-01 00:15:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 00:20:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 00:25:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 00:30:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 00:35:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 00:40:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 00:45:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 00:50:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 00:55:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 01:00:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 01:05:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 01:10:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 01:15:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 01:20:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 01:25:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 01:30:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 01:35:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 01:40:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 01:45:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 01:50:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 01:55:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 02:00:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 02:05:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 02:10:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 02:15:00-04:00,1,1,0,786.0,786.0,1,0,0,0.0,0.0,0.0,3.924436117211298,3.935932872179204,3.924436117211298,-0.003403510252745038,3.141742380460466
1995-07-01 02:20:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
1995-07-01 02:25:00-04:00,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.23308404806148947,-0.23327163171416626,-0.23308404806148947,-0.07881659060129258,-0.2022774524826193
