method_option,model,val_accuracy,accuracy,precision_macro,recall_macro,f1_macro
(f),Random Forest (Ensemble),1.0,0.9895287958115183,0.9928571428571429,0.9897698209718669,0.9910437710437711
(d),MLP Neural Network,0.756578947368421,0.8900523560209425,0.8951553112537095,0.8939707085327291,0.8916197884899152
(a),Logistic Regression (GLM),0.5197368421052632,0.5706806282722513,0.6024410058281026,0.5940262050396321,0.5617530820734482
(c),Support Vector Classifier (Robust Inference),0.40131578947368424,0.43455497382198954,0.47213081246806343,0.4753257824869078,0.43374379848064065
